"Timestamp","Vous êtes ? ","Quel âge avez-vous?","De quelle catégorie est votre permis?","Depuis combien de temps conduisez-vous?","En moyenne, combien de temps passez vous  en roulant pendant une journée ?","Prenez vous les dispositions nécessaires avant de prendre l’autoroute(moteur, vérification des pneus…)","Avez-vous déjà eu un accident récemment?","Quand a eu lieu l'accident ?","A quelle heure a eu l'accident ?","Responsabilité de l'accident :","Lors de votre accident, vous étiez :","Quelles ont été les conséquences suite à cet accident ?","Suite à votre accident, avez-vous eu besoin d'un arrêt de travail ou d'une interruption de votre scolarité  ?","D'après vous quelles sont les causes réelles de ces accidents","A votre avis, laquelle parmi les causes liées à l'infrastructure est le facteur prépondérant des accidents? ","Après l'accident , votre conduite : ","Vous collez le véhicule devant vous ou bien vous lui faites des appels de phares pour lui dire d’aller plus vite ou de changer de voie :","Vous ne vous souvenez plus où vous avez garé votre véhicule dans un grand parking :","Vous tournez à droite pour entrer sur une route principale et vous croisez le chemin d’un véhicule que vous n’aviez pas vu ou dont vous aviez mal estimé la vitesse :","Délibérément, vous ne respectez pas la limitation de vitesse tard dans la nuit ou très tôt le matin :","Vous  respectez pas le passage piéton :","Vous sous-estimez la vitesse d’un véhicule approchant lorsque vous dépassez :","A la présence d'un dispositif de contrôle(policier,radar...) , vous respectez la vitesse limite:","Vous pénétrez par une mauvaise voie dans un rond-point ou à l’approche d’une intersection :","Vous lisez mal les panneaux et vous prenez la mauvaise sortie à un rond-point : ","Vous vous trouvez impliqué(e) dans une « course non officielle » avec d’autres conducteurs :","   Vous ne respectez pas la limitation de vitesse lorsque la chaussée d'une autoroute comporte trois bandes  de circulation :","Est ce que vous appelez ou répondez aux appels téléphoniques pendant que vous conduisez?","Est ce que vous envoyez des SMS depuis votre téléphone portable en conduisant?"
"2018/04/09 11:37:16 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Presque toujours","Oui","Moins d'un an","20h - 0h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Des problèmes d'infrastructures et de signalisation (aménagement comme pistes cyclables non protégées, travaux sur la route, routes mal entretenues).","Facteur lié au marquage au sol;Facteur lié à la signalisation;Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Rarement","Jamais","Rarement","Rarement","Parfois","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/09 11:38:57 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Fréquemment","Non","","","","","","","","","","Jamais","Rarement","Jamais","Rarement","Parfois","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/09 11:39:55 AM GMT+1","Une femme","Entre 18 et 25 ans","A","Moins de  3 ans","Entre 30 et 60 minutes","Jamais","Non","","","","","","","","","","Parfois","Rarement","Rarement","Assez souvent","Fréquemment","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Rarement","Jamais","Rarement","",""
"2018/04/09 11:41:21 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Oui","Plus d'un an","20h - 0h","Responsable","En voiture","Psychologiques;Matérielles","Arrêt de travail / Interruption de scolarité","J'était en retard","Facteur lié à l'éclairage;Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Rarement","Parfois","Jamais","Rarement","Parfois","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Rarement","Jamais","",""
"2018/04/09 11:41:23 AM GMT+1","Une femme","Entre 18 et 25 ans","A","Moins de  3 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Fréquemment","Parfois","Rarement","Assez souvent","Assez souvent","Presque toujours","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Parfois","Rarement","Rarement","Rarement","",""
"2018/04/09 11:46:17 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Assez souvent","Jamais","Parfois","Parfois","Assez souvent","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Rarement","Jamais","",""
"2018/04/09 11:48:30 AM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Assez souvent","Jamais","Jamais","Rarement","Fréquemment","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/09 11:49:33 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Jamais","Non","","","","","","","","","","Jamais","Jamais","Jamais","Parfois","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Parfois","Jamais","Jamais","",""
"2018/04/09 11:49:45 AM GMT+1","Un homme","Entre 18 et 25 ans","A","Entre 3 et 10 ans","Entre 0 et 30 minutes","Jamais","Non","","","","","","","","","","Presque toujours","Jamais","Assez souvent","Assez souvent","Rarement","Assez souvent","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Fréquemment","Fréquemment","Jamais","",""
"2018/04/09 11:51:41 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Parfois","Oui","Moins d'un an","12h - 16h","50/50","En voiture","","","J'était en retard","Manque d attention","N’a pas changée","Presque toujours","Rarement","Rarement","Parfois","Assez souvent","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Assez souvent","Fréquemment","Jamais","Jamais","",""
"2018/04/09 11:56:21 AM GMT+1","Une femme","Entre 18 et 25 ans","A","Moins de  3 ans","Entre 30 et 60 minutes","Jamais","Oui","Moins d'un an","12h - 16h","Responsable","En voiture","Matérielles","","Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..)","","N’a pas changée","Parfois","Parfois","Rarement","Parfois","Assez souvent","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Parfois","Jamais","Assez souvent","",""
"2018/04/09 12:21:26 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Plus de 3 heures","Assez souvent","Oui","Moins d'un an","0h - 4h","Pas responsable","En voiture","Corporelles;Matérielles","Arrêt de travail / Interruption de scolarité","Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..)","Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Rarement","Parfois","Jamais","Jamais","Parfois","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/09 12:22:23 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Fréquemment","Non","","","","","","","","","","Parfois","Parfois","Rarement","Parfois","Assez souvent","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Rarement","Parfois","Rarement","",""
"2018/04/09 12:23:23 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Rarement","Jamais","Jamais","Jamais","Assez souvent","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Jamais","",""
"2018/04/09 12:27:58 PM GMT+1","Une femme","Entre 18 et 25 ans","A","Moins de  3 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Assez souvent","Rarement","Rarement","Assez souvent","Fréquemment","Fréquemment","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Fréquemment","Fréquemment","Assez souvent","Assez souvent","",""
"2018/04/09 12:28:10 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Fréquemment","Non","","","","","","","","","","Parfois","Rarement","Jamais","Rarement","Assez souvent","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Rarement","Jamais","Jamais","",""
"2018/04/09 12:30:05 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Rarement","Oui","Plus d'un an","8h - 12h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..)","Facteur lié à la signalisation","N’a pas changée","Rarement","Rarement","Parfois","Assez souvent","Fréquemment","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Parfois","Rarement","Rarement","",""
"2018/04/09 12:30:12 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Fréquemment","Jamais","Rarement","Presque toujours","Parfois","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Jamais","Rarement","Rarement","",""
"2018/04/09 12:37:35 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Parfois","Rarement","Parfois","Parfois","Assez souvent","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Rarement","Parfois","Rarement","",""
"2018/04/09 12:39:51 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Fréquemment","Rarement","Rarement","Parfois","Fréquemment","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Rarement","Parfois","",""
"2018/04/09 12:40:24 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Rarement","Rarement","Jamais","Parfois","Presque toujours","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Rarement","Assez souvent","Parfois","",""
"2018/04/09 12:44:02 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Plus de 3 heures","Rarement","Oui","Plus d'un an","12h - 16h","Pas responsable","En voiture","Psychologiques","","L'ignorance de l'état du véhicule","Facteur lié à la signalisation","N’a pas changée","Rarement","Parfois","Assez souvent","Parfois","Presque toujours","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Fréquemment","Parfois","Assez souvent","",""
"2018/04/09 12:45:28 PM GMT+1","Une femme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Presque toujours","Non","","","","","","","","","","Parfois","Parfois","Parfois","Rarement","Fréquemment","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Parfois","Jamais","Jamais","",""
"2018/04/09 12:47:53 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Assez souvent","Assez souvent","Rarement","Rarement","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Parfois","Jamais","Rarement","",""
"2018/04/09 12:50:29 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Parfois","Parfois","Rarement","Jamais","Assez souvent","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Rarement","Jamais","",""
"2018/04/09 12:52:59 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Presque toujours","Non","","","","","","","","","","Rarement","Rarement","Jamais","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/09 12:57:11 PM GMT+1","Un homme","Entre 18 et 25 ans","A","Entre 3 et 10 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Parfois","Assez souvent","Rarement","Parfois","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Parfois","Jamais","Parfois","",""
"2018/04/09 1:13:46 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Rarement","Jamais","Jamais","Rarement","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/09 1:16:37 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Assez souvent","Jamais","Jamais","Fréquemment","Parfois","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Jamais","Jamais","Assez souvent","",""
"2018/04/09 1:24:45 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Parfois","Non","","","","","","","","","","Jamais","Jamais","Jamais","Jamais","Presque toujours","Fréquemment","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Assez souvent","Parfois","Rarement","Rarement","",""
"2018/04/09 1:26:01 PM GMT+1","Une femme","Entre 18 et 25 ans","A","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Parfois","Rarement","Rarement","Rarement","Fréquemment","Presque toujours","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Parfois","Jamais","Jamais","",""
"2018/04/09 1:28:09 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Jamais","Non","","","","","","","","","","Rarement","Parfois","Rarement","Parfois","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Assez souvent","",""
"2018/04/09 1:34:25 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Plus de 3 heures","Fréquemment","Non","","","","","","","","","","Assez souvent","Assez souvent","Parfois","Jamais","Presque toujours","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Rarement","",""
"2018/04/09 1:38:36 PM GMT+1","Une femme","Entre 34 et 41 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Rarement","Jamais","Jamais","Rarement","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","",""
"2018/04/09 1:39:23 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Fréquemment","Non","","","","","","","","","","Parfois","Parfois","Jamais","Parfois","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Parfois","",""
"2018/04/09 1:46:20 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Fréquemment","Non","","","","","","","","","","Jamais","Jamais","Jamais","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/09 1:48:26 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Assez souvent","Non","","","","","","","","","","Assez souvent","Jamais","Parfois","Rarement","Presque toujours","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Parfois","Rarement","Rarement","Assez souvent","",""
"2018/04/09 1:54:08 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Fréquemment","Jamais","Rarement","Rarement","Assez souvent","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/09 1:56:15 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Rarement","Oui","Moins d'un an","16h - 20h","Responsable","En voiture","Matérielles","","Manque de connaissance de la base de conduite","Facteur lié à la signalisation;Facteur lié à l'éclairage;Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Parfois","Rarement","Rarement","Jamais","Fréquemment","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/09 1:58:10 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Moins de  3 ans","Plus de 3 heures","Assez souvent","Oui","Plus d'un an","12h - 16h","Pas responsable","En deux roues ( moto,vélo,scooter)","Matérielles","","Facteurs externes (conditions météorologiques, animaux...);Des problèmes d'infrastructures et de signalisation (aménagement comme pistes cyclables non protégées, travaux sur la route, routes mal entretenues).","Facteur lié à la signalisation","S’est plutôt améliorée","Parfois","Rarement","Jamais","Jamais","Presque toujours","Presque toujours","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Jamais","Jamais","Assez souvent","",""
"2018/04/09 2:00:50 PM GMT+1","Une femme","Entre 26 et 33 ans","A","Entre 3 et 10 ans","Entre 30 et 60 minutes","Jamais","Oui","Plus d'un an","20h - 0h","Responsable","En voiture","Matérielles","","Je ne sais pas","Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Jamais","Jamais","Jamais","Presque toujours","Presque toujours","Fréquemment","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Fréquemment","Fréquemment","Parfois","Rarement","",""
"2018/04/09 2:13:39 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Rarement","Oui","Moins d'un an","16h - 20h","50/50","En voiture","Corporelles;Matérielles;Familiales","Arrêt de travail / Interruption de scolarité","Je ne sais pas","Facteur lié au marquage au sol;Facteur lié à la signalisation;Facteur lié à l'éclairage;Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Parfois","Jamais","Jamais","Parfois","Presque toujours","Fréquemment","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Jamais","Jamais","Parfois","",""
